Player,Pos,Team,Opp,Start/Line,PP Unit,Goals,Win %,Salary,Ceiling,Avg,FC Proj,My Proj,Exp.,Used,Con.,Value
Joel Persson,D,EDM,vs VAN,,,2.97,57.4%,3500,0.00,,0.00,0.00,100,,0,0.00
Mario Ferraro,D,SJ,@ VGK,3,,2.81,37.7%,3500,,,5.85,5.85,100,,0,1.67
Teemu Kivihalme,D,TOR,vs OTT,,,4.13,73.5%,3500,0.00,,0.00,0.00,100,,0,0.00
Markus Granlund,W,EDM,vs VAN,3,,2.97,57.4%,3400,35.7,5.9,4.44,4.44,100,,41,1.31
Jean-Gabriel Pageau,C,OTT,@ TOR,4,2,2.37,26.5%,3400,56.0,8.3,6.55,6.55,100,,52,1.93
Ivan Barbashev,W,STL,vs WSH,4,,3.02,59%,3400,42.4,4.6,4.56,4.56,100,,26,1.34
Mikkel Boedker,W,OTT,@ TOR,,,2.37,26.5%,3300,0.00,7.7,0.00,0.00,100,,45,0.00
Jujhar Khaira,W,EDM,vs VAN,4,,2.97,57.4%,3300,27.2,4.6,4.11,4.11,100,,36,1.25
Tomas Nosek,W,VGK,vs SJ,4,,3.69,62.3%,3300,34.4,4.8,5.92,5.92,100,,38,1.79
Lukas Radil,W,SJ,@ VGK,2,,2.81,37.7%,3300,24.8,2.9,0.98,0.98,100,,4,0.3
Max Veronneau,W,OTT,@ TOR,,,2.37,26.5%,3300,0.00,5.2,0.00,0.00,100,,44,0.00
Ilya Mikheyev,W,TOR,vs OTT,3,,4.13,73.5%,3300,,,10.15,10.15,100,,0,3.08
Barclay Goodrow,C,SJ,@ VGK,4,2,2.81,37.7%,3200,24.8,4.4,4.77,4.77,100,,37,1.49
Tyler Ennis,W,OTT,@ TOR,3,2,2.37,26.5%,3200,47.7,6.9,4.53,4.53,100,,46,1.42
Garrett Wilson,W,TOR,vs OTT,,,4.13,73.5%,3200,0.00,2.7,0.00,0.00,100,,31,0.00
Josh Archibald,W,EDM,vs VAN,4,,2.97,57.4%,3200,41.6,4.1,8.40,8.40,100,,21,2.63
Nic Petan,W,TOR,vs OTT,,,4.13,73.5%,3200,0.00,2.4,0.00,0.00,100,,9,0.00
Filip Chlapik,C,OTT,@ TOR,4,,2.37,26.5%,3200,20.0,4.3,4.04,4.04,100,,35,1.26
Brendan Leipsic,W,WSH,@ STL,4,2,2.48,41%,3200,36.8,4.9,3.65,3.65,100,,34,1.14
Nikolay Goldobin,W,VAN,@ EDM,,,2.53,42.6%,3200,0.00,5.0,0.00,0.00,100,,36,0.00
Zachary Sanford,W,STL,vs WSH,,,3.02,59%,3200,0.00,3.9,0.00,0.00,100,,28,0.00
Joseph Gambardella,W,EDM,vs VAN,,,2.97,57.4%,3200,0.00,1.5,0.00,0.00,100,,7,0.00
Joakim Nygard,W,EDM,vs VAN,1,2,2.97,57.4%,3200,,,11.68,11.68,100,,0,3.65
Jay Beagle,C,VAN,@ EDM,4,,2.53,42.6%,3100,40.0,5.3,3.15,3.15,100,,41,1.02
Chandler Stephenson,W,WSH,@ STL,3,,2.48,41%,3100,27.2,3.3,1.66,1.66,100,,23,0.54
Pontus Aberg,W,TOR,vs OTT,,,4.13,73.5%,3100,0.00,4.2,0.00,0.00,100,,23,0.00
Valentin Zykov,W,VGK,vs SJ,3,,3.69,62.3%,3100,32.0,2.8,1.29,1.29,100,,0,0.42
Garnet Hathaway,W,WSH,@ STL,4,,2.48,41%,3100,28.8,4.4,5.25,5.25,100,,36,1.69
Alex Formenton,W,OTT,@ TOR,,,2.37,26.5%,3100,0.00,3.5,0.00,0.00,100,,30,0.00
Adam Gaudette,W,VAN,@ EDM,,,2.53,42.6%,3100,0.00,3.8,0.00,0.00,100,,26,0.00
Antti Suomela,C,SJ,@ VGK,,,2.81,37.7%,3100,0.00,4.5,0.00,0.00,100,,16,0.00
Antoine Roussel,W,VAN,@ EDM,,,2.53,42.6%,3000,0.00,6.2,0.00,0.00,100,,43,0.00
Anthony Peluso,W,EDM,vs VAN,,,2.97,57.4%,3000,0.00,1.4,0.00,0.00,100,,3,0.00
Matt Read,W,TOR,vs OTT,,,4.13,73.5%,3000,0.00,6.0,0.00,0.00,100,,48,0.00
Brad Malone,C,EDM,vs VAN,,,2.97,57.4%,3000,0.00,2.7,0.00,0.00,100,,19,0.00
Ryan Reaves,W,VGK,vs SJ,4,,3.69,62.3%,3000,23.2,2.9,4.17,4.17,100,,22,1.39
Ryan Callahan,W,OTT,@ TOR,,,2.37,26.5%,3000,0.00,7.0,0.00,0.00,100,,45,0.00
Kyle Brodziak,C,EDM,vs VAN,,,2.97,57.4%,3000,0.00,4.7,0.00,0.00,100,,34,0.00
Matt Moulson,W,WSH,@ STL,,,2.48,41%,3000,0.00,6.3,0.00,0.00,100,,44,0.00
Tim Schaller,W,VAN,@ EDM,4,,2.53,42.6%,3000,28.0,4.5,2.60,2.60,100,,38,0.87
Nick Shore,C,TOR,vs OTT,,,4.13,73.5%,3000,0.00,4.1,0.00,0.00,100,,36,0.00
Nick Paul,W,OTT,@ TOR,,,2.37,26.5%,3000,0.00,2.8,0.00,0.00,100,,31,0.00
Robby Fabbri,W,STL,vs WSH,3,,3.02,59%,3000,44.5,5.8,1.60,1.60,100,,35,0.53
Travis Boyd,W,WSH,@ STL,,,2.48,41%,3000,0.00,2.5,0.00,0.00,100,,9,0.00
Jonny Brodzinski,W,SJ,@ VGK,,,2.81,37.7%,3000,0.00,3.4,0.00,0.00,100,,22,0.00
Patrick Brown,W,VGK,vs SJ,,,3.69,62.3%,3000,0.00,1.9,0.00,0.00,100,,1,0.00
Colby Cave,C,EDM,vs VAN,4,,2.97,57.4%,3000,24.8,2.9,4.45,4.45,100,,27,1.48
Nic Dowd,C,WSH,@ STL,4,,2.48,41%,3000,24.0,3.8,4.80,4.80,100,,32,1.6
Frederik Gauthier,C,TOR,vs OTT,4,,4.13,73.5%,3000,24.8,2.9,2.39,2.39,100,,22,0.8
Nicolas Roy,W,VGK,vs SJ,,,3.69,62.3%,3000,0.00,2.1,0.00,0.00,100,,15,0.00
Ken Agostino,W,TOR,vs OTT,,,4.13,73.5%,3000,0.00,5.4,0.00,0.00,100,,48,0.00
William Carrier,W,VGK,vs SJ,4,,3.69,62.3%,3000,20.0,3.3,1.40,1.40,100,,33,0.47
Tyrell Goulbourne,W,VGK,vs SJ,,,3.69,62.3%,3000,0.00,0.6,0.00,0.00,100,,2,0.00
Dmytro Timashov,W,TOR,vs OTT,4,,4.13,73.5%,3000,8.0,2.2,5.14,5.14,100,,38,1.71
Nathan Walker,W,STL,vs WSH,,,3.02,59%,3000,0.00,0.9,0.00,0.00,100,,0,0.00
